;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;;;;;;;;;;;;;;;;;;;;;;;;;
1979;07.сен;0.33;0.26;01.фев;0.044;23;103;0.9932;мар.19;0.54;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
1980;07.май;0.38;0.5;12.авг;0.042;57;184;0.9984;03.сен;0.46;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
1981;07.июн;0.2;0.3;14.фев;0.056;53;212.5;0.999;мар.14;0.46;08.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
1982;07.июн;0.2;0.3;14.фев;0.056;53;212.5;0.999;мар.14;0.46;08.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
1983;07.июн;0.2;0.3;14.фев;0.056;53;212.5;0.999;мар.14;0.46;08.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
1984;07.июн;0.2;0.3;14.фев;0.056;53;212.5;0.999;мар.14;0.46;08.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
1985;07.июн;0.2;0.3;14.фев;0.056;53;212.5;0.999;мар.14;0.46;08.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
1986;08.янв;0.19;0.58;16.65;0.049;48;181;1.0006;03.фев;0.62;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
1987;07.июн;0.16;0.41;01.сен;0.047;27;151;0.9937;03.фев;0.53;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
1988;08.янв;0.22;0.28;07.июл;0.043;57;176;0.9954;03.дек;0.55;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
1989;8;0.22;0.32;10.апр;0.043;63;201;0.997;03.ноя;0.53;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
1990;07.янв;0.33;0.3;03.мар;0.034;30;102;0.9912;03.авг;0.31;12.мар;7;;;;;;;;;;;;;;;;;;;;;;;;;
1991;06.апр;0.43;0.27;01.янв;0.054;5;110;0.9939;мар.24;0.52;09.янв;4;;;;;;;;;;;;;;;;;;;;;;;;;
1992;07.июн;0.2;0.3;14.фев;0.056;53;212.5;0.999;мар.14;0.46;08.сен;8;;;;;;;;;;;;;;;;;;;;;;;;;
1993;7;0.12;0.28;06.мар;0.057;17;103;0.9957;03.май;0.44;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
1994;07.апр;0.3;0.22;май.25;0.053;33;180;0.9926;мар.13;0.45;11.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
1995;7;0.28;0.33;14.июн;0.043;47;168;0.9994;мар.34;0.67;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
1996;08.апр;0.2;0.38;11.авг;0.055;51;170;1.0004;мар.34;0.82;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
1997;7;0.28;0.33;14.июн;0.043;47;168;0.9994;мар.34;0.67;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
1998;08.апр;0.2;0.38;11.авг;0.055;51;170;1.0004;мар.34;0.82;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
1999;08.апр;0.2;0.38;11.авг;0.055;51;170;1.0004;мар.34;0.82;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
2000;07.мар;0.18;0.31;17.мар;0.055;32;197;1.0002;мар.13;0.46;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
2001;06.авг;0.31;0.09;01.апр;0.04;56;145;0.9922;мар.19;0.46;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
2002;06.июл;0.31;0.08;01.мар;0.038;58;147;0.9922;мар.18;0.46;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
2003;07.июн;0.17;0.35;01.июн;0.047;43;154;0.9934;мар.36;0.69;11.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2004;07.апр;0.3;0.22;май.25;0.053;33;180;0.9926;мар.13;0.45;11.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2005;07.апр;0.26;0.31;02.апр;0.043;58;178;0.9941;мар.42;0.68;10.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2006;7;0.28;0.33;14.июн;0.043;47;168;0.9994;мар.34;0.67;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2007;08.апр;0.2;0.38;11.авг;0.055;51;170;1.0004;мар.34;0.82;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
2008;05.июн;0.18;0.31;01.май;0.038;16;84;0.9924;мар.34;0.58;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2009;07.фев;0.15;0.39;01.авг;0.043;21;159;0.9948;мар.52;0.47;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
2010;8;0.4;0.33;07.июл;0.034;27;98;0.9935;мар.18;0.41;12.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
2011;7;0.25;0.56;2;0.035;20;95;0.9918;мар.23;0.53;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
2012;07.фев;0.15;0.39;01.авг;0.043;21;159;0.9948;мар.52;0.47;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
2013;06.авг;0.18;0.46;01.апр;0.064;37;160;0.9924;мар.37;0.45;11.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2014;06.июн;0.32;0.22;16.июл;0.046;38;133;0.9979;мар.22;0.67;10.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
2015;9;0.55;0.3;08.янв;0.026;14;71;0.993;фев.94;0.36;11.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2016;06.сен;0.19;0.39;8;0.028;22;84;0.994;03.ноя;0.66;10.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2017;06.мар;0.41;0.33;04.июл;0.023;28;110;0.991;03.мар;0.38;12.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
2018;9;0.55;0.3;08.янв;0.026;14;71;0.993;фев.94;0.36;11.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2019;7;0.2;0.34;02.янв;0.049;12;136;0.9922;мар.25;0.46;11.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
2020;06.июн;0.32;0.22;16.июл;0.046;38;133;0.9979;мар.22;0.67;10.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
2021;07.июл;0.26;0.34;06.апр;0.05;36;163;0.9937;мар.19;0.7;11.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2022;06.мар;0.21;0.28;01.май;0.051;46;142;0.9928;мар.23;0.42;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2023;07.июн;0.34;0.39;07.июн;0.04;45;215;0.9965;03.ноя;0.53;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2024;06.мар;0.21;0.28;01.май;0.051;46;142;0.9928;мар.23;0.42;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2025;8;0.43;0.4;12.апр;0.168;29;190;0.9991;03.июл;0.64;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2026;07.май;0.3;0.71;01.мар;0.16;44;149;0.9948;03.авг;0.42;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
2027;06.апр;0.26;0.4;01.июл;0.179;5;60;0.9925;03.сен;0.54;10.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2028;06.сен;0.32;0.15;08.янв;0.046;51;180;0.9958;мар.13;0.45;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
2029;08.сен;0.21;0.34;07.янв;0.037;33;150;0.9962;03.янв;0.45;09.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
2030;07.июн;0.34;0.39;07.июн;0.04;45;215;0.9965;03.ноя;0.53;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2031;09.май;0.42;0.41;02.мар;0.034;22;145;0.9951;03.июн;0.52;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
2032;07.июн;0.29;0.26;06.май;0.042;32;160;0.9944;мар.14;0.47;10.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2033;06.май;0.25;0.2;01.апр;0.024;29;101;0.9916;мар.24;0.54;10.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2034;07.фев;0.23;0.33;12.июл;0.049;50;183;0.9987;мар.41;0.4;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2035;07.сен;0.35;0.36;01.июн;0.038;11;124;0.9928;мар.25;0.48;11;5;;;;;;;;;;;;;;;;;;;;;;;;;
2036;08.авг;0.2;0.28;01.янв;0.018;18;72;0.9926;фев.97;0.35;10.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2037;05.июл;0.27;0.32;01.фев;0.046;20;155;0.9934;03.авг;0.41;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2038;07.июн;0.29;0.26;06.май;0.042;32;160;0.9944;мар.14;0.47;10.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2039;05.май;0.14;0.27;04.июн;0.029;22;104;0.9949;мар.34;0.44;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2040;08.июл;0.24;0.35;0.6;0.042;11;71;0.9926;03.авг;0.38;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2041;06.июл;0.3;0.45;10.июн;0.032;56;212;0.997;мар.22;0.59;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2042;05.май;0.14;0.27;04.июн;0.029;22;104;0.9949;мар.34;0.44;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2043;05.июн;0.13;0.27;04.авг;0.028;22;104;0.9948;мар.34;0.45;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2044;07.апр;0.18;0.34;02.июл;0.03;30;107;0.992;фев.97;0.53;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
2045;05.июл;0.385;0.04;12.июн;0.034;22;115;0.9964;мар.28;0.63;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
2046;08.июл;0.24;0.35;0.6;0.042;11;71;0.9926;03.авг;0.38;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2047;08.мар;0.33;0.43;09.фев;0.046;22;126;0.9982;мар.38;0.47;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
2048;06.авг;0.34;0.44;06.июн;0.052;28;156;0.9955;мар.14;0.41;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2049;06.авг;0.33;0.44;7;0.05;29;155;0.9955;мар.14;0.42;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2050;06.мар;0.28;0.24;авг.45;0.031;32;172;0.9958;мар.39;0.57;09.июл;7;;;;;;;;;;;;;;;;;;;;;;;;;
2051;11.авг;0.23;0.38;11.янв;0.034;15;123;0.9997;фев.93;0.55;09.июл;3;;;;;;;;;;;;;;;;;;;;;;;;;
2052;06.авг;0.21;0.27;18.15;0.042;41;146;1.0001;03.мар;0.36;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2053;06.авг;0.21;0.27;18.15;0.042;41;146;1.0001;03.мар;0.36;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2054;08.июн;0.485;0.29;04.янв;0.026;19;101;0.9918;03.янв;0.38;12.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2055;08.июн;0.485;0.29;04.янв;0.026;19;101;0.9918;03.янв;0.38;12.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2056;07.мар;0.29;0.29;04.июн;0.029;27;155;0.9931;03.июл;0.26;10.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2057;06.авг;0.21;0.27;18.15;0.042;41;146;1.0001;03.мар;0.36;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2058;06.июл;0.31;0.31;04.сен;0.031;20;151;0.9926;мар.36;0.82;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
2059;07.мар;0.29;0.37;08.мар;0.044;45;227;0.9966;03.дек;0.47;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2060;05.июл;0.46;0.46;01.апр;0.04;31;169;0.9932;мар.13;0.47;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2061;06.авг;0.28;0.44;11.май;0.04;58;223;0.9969;мар.22;0.56;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2062;06.июл;0.23;0.33;01.авг;0.036;23;96;0.9925;мар.32;0.4;10.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2063;06.сен;0.17;0.25;01.июн;0.047;34;132;0.9914;мар.16;0.48;11.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2064;07.июн;0.18;0.36;02.апр;0.049;38;123;0.996;03.июн;0.46;10.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
2065;06.июн;0.22;0.28;04.сен;0.042;51;180;0.9952;03.мар;0.75;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2066;07.авг;0.27;0.28;01.авг;0.05;21;127;0.9934;мар.15;0.44;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
2067;07.июл;0.28;0.29;04.мар;0.051;25;142;0.9939;мар.16;0.39;10.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2068;07.июн;0.29;0.29;04.апр;0.051;26;146;0.9939;мар.16;0.39;10.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2069;05.июл;0.32;0.18;01.апр;0.029;26;104;0.9906;мар.44;0.37;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
2070;07.янв;0.33;0.25;01.июн;0.03;25;126;0.9901;мар.22;0.34;12.янв;7;;;;;;;;;;;;;;;;;;;;;;;;;
2071;07.мар;0.34;0.3;01.мар;0.057;25;173;0.9948;мар.26;0.51;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2072;06.май;0.19;0.26;05.фев;0.04;31;140;0.995;мар.26;0.68;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2073;06.июн;0.23;0.27;05.июн;0.043;43;164;0.9953;мар.27;0.76;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2074;06.июн;0.27;0.29;05.мар;0.045;57;189;0.9953;мар.31;0.79;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2075;06.июн;0.22;0.28;04.сен;0.042;51;180;0.9952;03.мар;0.75;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2076;07.июн;0.18;0.36;02.апр;0.049;38;123;0.996;03.июн;0.46;10.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
2077;06.авг;0.36;0.32;01.июн;0.039;10;124;0.9948;03.мар;0.67;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2078;7;0.22;0.39;02.янв;0.055;39;198;0.9951;мар.52;0.54;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2079;05.сен;0.17;0.3;01.апр;0.042;25;119;0.9931;мар.68;0.72;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2080;07.апр;0.45;0.32;07.янв;0.044;17;117;0.9962;мар.32;0.41;10.апр;4;;;;;;;;;;;;;;;;;;;;;;;;;
2081;06.авг;0.36;0.32;01.июн;0.039;10;124;0.9948;03.мар;0.67;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2082;07.май;0.42;0.14;10.июл;0.046;18;95;0.9959;мар.22;0.33;10.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2083;07.май;0.33;0.32;11.янв;0.036;25;119;0.9962;мар.15;0.34;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2084;09.апр;0.3;0.32;10.июл;0.029;14;111;0.9958;фев.85;0.42;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2085;07.сен;0.17;0.32;01.июн;0.053;47;150;0.9948;мар.29;0.76;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2086;07.сен;0.17;0.32;01.июн;0.053;47;150;0.9948;мар.29;0.76;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2087;08.фев;0.17;0.32;01.май;0.05;17;101;0.994;мар.14;0.58;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2088;08.мар;0.17;0.31;01.май;0.049;48;153;0.9942;03.дек;0.58;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
2089;08.июл;0.15;0.3;01.июн;0.046;29;130;0.9942;мар.22;0.38;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2090;07.сен;0.17;0.32;01.июн;0.053;47;150;0.9948;мар.29;0.76;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2091;07.фев;0.25;0.19;8;0.044;51;172;0.9964;мар.16;0.44;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2092;07.фев;0.24;0.19;07.июл;0.045;53;176;0.9958;мар.17;0.38;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2093;05.мар;0.76;0.03;02.июл;0.043;27;93;0.9932;мар.34;0.38;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2094;06.июн;0.22;0.53;15.янв;0.052;22;136;0.9986;фев.94;0.35;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2095;06.июн;0.22;0.53;15.янв;0.052;22;136;0.9986;фев.94;0.35;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2096;08.апр;0.28;0.4;08.сен;0.048;33;146;0.9988;03.апр;0.46;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
2097;06.авг;0.32;0.34;6;0.05;5;129;0.9953;мар.19;0.4;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2098;06.июл;0.24;0.33;12.мар;0.046;31;145;0.9983;мар.36;0.4;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2099;07.апр;0.18;0.36;13.янв;0.056;72;163;1;мар.42;0.35;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2100;6;0.16;0.3;06.июл;0.043;43;153;0.9951;мар.63;0.46;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2101;06.июл;0.24;0.33;12.мар;0.046;31;145;0.9983;мар.36;0.4;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2102;06.авг;0.28;0.35;02.мар;0.042;16;85;0.9906;мар.19;0.56;12.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
2103;06.фев;0.34;0.3;11.янв;0.047;28;237;0.9981;мар.18;0.49;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2104;6;0.27;0.15;01.май;0.056;35;128;0.9936;03.дек;0.45;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2105;6;0.16;0.3;06.июл;0.043;43;153;0.9951;мар.63;0.46;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2106;06.авг;0.32;0.34;6;0.05;5;129;0.9953;мар.19;0.4;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2107;08.май;0.24;0.47;15.фев;0.057;40;234;1.0005;03.фев;0.66;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2108;08.янв;0.24;0.33;10.фев;0.048;46;141;0.9972;мар.16;0.48;10.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
2109;07.апр;0.18;0.36;13.янв;0.056;72;163;1;мар.42;0.35;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
2110;07.июл;0.23;0.31;10.июл;0.038;59;186;0.9969;03.дек;0.55;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2111;06.май;0.22;0.25;17.янв;0.05;44;138;1.0001;03.мар;0.37;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2112;06.май;0.22;0.25;17.янв;0.05;44;138;1.0001;03.мар;0.37;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2113;06.май;0.22;0.25;17.янв;0.05;44;138;1.0001;03.мар;0.37;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2114;05.июл;0.33;0.15;01.сен;0.05;20;93;0.9934;мар.38;0.62;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
2115;07.июл;0.23;0.31;10.июл;0.038;59;186;0.9969;03.дек;0.55;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
2116;06.май;0.22;0.25;17.янв;0.05;44;138;1.0001;03.мар;0.37;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2117;06.авг;0.2;0.27;01.фев;0.034;19;68;0.9902;мар.14;0.37;11.июл;4;;;;;;;;;;;;;;;;;;;;;;;;;
2118;07.июл;0.26;0.32;01.фев;0.04;26;117;0.993;мар.21;0.56;10.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
2119;06.апр;0.2;0.32;03.янв;0.041;18;126;0.9914;мар.43;0.42;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
2120;8;0.16;0.36;01.май;0.033;14;122;0.9941;03.фев;0.39;10.мар;4;;;;;;;;;;;;;;;;;;;;;;;;;
2121;06.авг;0.25;0.27;10.июл;0.076;47;154;0.9967;03.май;0.38;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2122;07.июл;0.39;0.28;04.сен;0.035;36;109;0.9918;мар.19;0.58;12.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
2123;06.сен;0.26;0.33;12.июн;0.051;59;173;0.998;мар.39;0.38;09.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
2124;06.авг;0.25;0.27;10.июл;0.076;47;154;0.9967;03.май;0.38;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2125;07.июл;0.39;0.28;04.сен;0.035;36;109;0.9918;мар.19;0.58;12.фев;7;;;;;;;;;;;;;;;;;;;;;;;;;
2126;6;0.28;0.22;дек.15;0.048;42;163;0.9957;03.фев;0.46;10.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2127;06.май;0.43;0.28;12;0.056;23;174;0.9986;мар.31;0.55;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
2128;09.янв;0.33;0.38;01.июл;0.062;50.5;344;0.9958;03.янв;0.7;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
2129;05.сен;0.5;0.05;02.июн;0.054;36;146;0.9948;мар.43;0.5;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2130;06.авг;0.28;0.39;01.апр;0.036;15;115;0.9918;мар.27;0.72;11.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2131;7;0.35;0.24;01.сен;0.04;21;144;0.9923;мар.35;0.38;11;5;;;;;;;;;;;;;;;;;;;;;;;;;
2132;07.янв;0.22;0.32;16.сен;0.056;49;158;0.9998;мар.37;0.38;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2133;07.янв;0.22;0.32;16.сен;0.056;49;158;0.9998;мар.37;0.38;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2134;08.мар;0.24;0.27;02.янв;0.03;22;162;0.9914;фев.99;0.68;11.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
2135;06.авг;0.26;0.32;7;0.041;38;118;0.9939;мар.25;0.52;10.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2136;07.фев;0.16;0.26;07.янв;0.054;41;224;0.9966;мар.38;0.55;10.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2137;07.сен;0.18;0.36;05.сен;0.058;31;132;0.995;мар.25;0.52;10.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
2138;07.фев;0.16;0.26;07.янв;0.054;41;224;0.9966;мар.38;0.55;10.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
2139;05.май;0.24;0.32;08.июл;0.06;19;102;0.994;мар.27;0.31;10.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
2140;07.янв;0.33;0.64;13.фев;0.056;12;105;0.9972;03.май;0.39;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2141;07.июл;0.28;0.35;15.мар;0.056;31;117;0.9998;мар.27;0.5;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2142;07.июл;0.28;0.35;15.мар;0.056;31;117;0.9998;мар.27;0.5;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2143;07.май;0.26;0.52;13.фев;0.047;64;179;0.9982;03.янв;0.46;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
2144;06.май;0.14;0.32;02.июл;0.037;18;89;0.9924;03.апр;0.74;11.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
2145;08.фев;0.21;0.32;окт.65;0.053;53;145;0.9972;мар.17;0.48;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2146;07.фев;0.2;0.31;10;0.054;49;165;0.997;03.апр;0.42;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
2147;07.фев;0.115;0.3;06.авг;0.056;26;105;0.9954;мар.44;0.4;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2148;06.апр;0.29;0.2;15.июн;0.04;20;142;0.9962;03.янв;0.54;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2149;07.янв;0.33;0.64;13.фев;0.056;12;105;0.9972;03.май;0.39;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
2150;06.авг;0.24;0.34;05.янв;0.038;31;99;0.9921;мар.24;0.46;11.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2151;7;0.24;0.34;3;0.035;36;102;0.9905;мар.18;0.43;12.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
2152;07.июл;0.28;0.35;15.мар;0.056;31;117;0.9998;мар.27;0.5;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2153;7;0.22;0.33;02.янв;0.052;15;76;0.993;03.фев;0.41;10.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2154;07.май;0.18;0.39;01.сен;0.054;23;91;0.9941;мар.27;0.45;10.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
2155;09.авг;0.93;0.45;08.июн;0.052;34;187;0.9994;03.дек;0.59;10.фев;4;;;;;;;;;;;;;;;;;;;;;;;;;
2156;07.авг;0.29;0.33;авг.75;0.035;33;181;0.9962;03.ноя;0.46;10.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
2157;07.сен;0.28;0.32;03.июн;0.038;9;76;0.992;03.май;0.31;11.июл;4;;;;;;;;;;;;;;;;;;;;;;;;;
2158;08.май;0.25;0.27;04.июл;0.031;31;92;0.9922;03.янв;0.33;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
2159;07.апр;0.18;0.27;01.мар;0.048;26;105;0.994;мар.52;0.66;10.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
2160;06.мар;0.24;0.37;01.авг;0.031;6;61;0.9897;03.мар;0.34;12.фев;4;;;;;;;;;;;;;;;;;;;;;;;;;
2161;6;0.33;0.38;09.июл;0.04;29;124;0.9954;мар.47;0.48;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
2162;06.авг;0.37;0.28;4;0.03;29;79;0.99;мар.23;0.46;12.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
2163;09.сен;0.49;0.23;02.апр;0.087;19;115;0.9948;фев.77;0.44;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
2164;08.май;0.25;0.27;04.июл;0.031;31;92;0.9922;03.янв;0.33;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
2165;08.апр;0.22;0.28;18.авг;0.028;55;130;0.998;фев.96;0.35;11.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
2166;7;0.35;0.31;01.авг;0.069;15;162;0.9944;мар.18;0.47;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
